ID,Active,DependentID,FieldToLoad,SourceField,Domain,api,Parms
5,Y,,contentsID,id,http://10.20.16.71:8080,/abc/contents,fetchLimit=25&fetchOffset=0&includeHidden=false&type=Movie%2FSpecial
6,Y,,contentsID,id,http://10.20.16.71:8080,/abc/contents,fetchLimit=25&fetchOffset=0&includeHidden=false&type=Series
118,Y,,deliveryConditionID,id,http://10.20.16.71:8080,/abc/system/deliveryConditions,
136,Y,?,executionID,id,http://10.20.16.71:8080,/abc/workflows/executions,dateProperty=startDate&fetchLimit=25&fetchOffset=0&fromDate=Fri+Nov+24+2017+14:54:59+GMT-0700+(MST)&status=EXECUTING&status=FAILED&status=PAUSED&status=QUEUED&status=STALLED&status=WAITING&toDate=Fri+Dec+08+2017+14:54:59+GMT-0700+(MST)
123,Y,,externalMetadataSourceID,id,http://10.20.16.71:8080,/abc/system/externalMetadataSources,
125,Y,,FFmpegTemplateID,id,http://10.20.16.71:8080,/abc/system/FFmpegTemplates,
128,Y,,intermediateVideoTemplateID,id,http://10.20.16.71:8080,/abc/system/intermediateVideoTemplates,
42,Y,,livefeedID,id,http://10.20.16.71:8080,/abc/livefeeds,
130,Y,,macCaptionTemplateID,id,http://10.20.16.71:8080,/abc/system/macCaptionTemplates,
44,Y,,mediaacceptprofileID,id,http://10.20.16.71:8080,/abc/mediaAcceptProfiles,
83,Y,,mvpdPartnerID,id,http://10.20.16.71:8080,/abc/partners,fetchLimit=25&fetchOffset=0&mvpd=true
52,Y,,networkID,id,http://10.20.16.71:8080,/abc/networks,fetchLimit=0
65,Y,,packageID,id,http://10.20.16.71:8080,/abc/packages,fetchLimit=25&fetchOffset=0&includeHidden=false&packageProperties=episodeTitle&packageProperties=id&packageProperties=name
80,Y,,partnerID,id,http://10.20.16.71:8080,/abc/partners,fetchLimit=-1
96,Y,,plannerID,id,http://10.20.16.71:8080,/abc/partners/planners,fetchLimit=25&fetchOffset=0
48,Y,,propertyID,id,http://10.20.16.71:8080,/abc/metadata/properties,
18,Y,6,seasonID,id,http://10.20.16.71:8080,/abc/contents/{contentsID}/seasons,
8,N,5,categoryID,id,http://10.20.16.71:8080,/abc/contents/{contentsID}/categories,
19,N,5,volumeID,id,http://10.20.16.71:8080,/abc/contents/{contentsID}/volumes,
133,Y,,xlsTemplateID,id,http://10.20.16.71:8080,/abc/system/xslTemplates,
11,N,5,,,http://10.20.16.71:8080,/abc/contents/{categoryID}/breakPrePostRolls,
12,N,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/categories,categoryId={categoryID}
22,N,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/categories,categoryId={categoryID}
13,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID},
14,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/breakPrePostRolls,fetchLimit=0&includeHidden=false
15,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/categories,
16,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/postRolls,fetchLimit=0&includeHidden=false
17,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/preRolls,fetchLimit=0&includeHidden=false
20,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/breakPrePostRolls,
21,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/breakPrePostRolls,fetchLimit=0&includeHidden=false
23,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/postRolls,fetchLimit=0&includeHidden=false
24,Y,5,,,http://10.20.16.71:8080,/abc/contents/{contentsID}/preRolls,fetchLimit=0&includeHidden=false
9,Y,6,,,http://10.20.16.71:8080,/abc/contents/{contentsID},
10,Y,6,,,http://10.20.16.71:8080,/abc/contents/{contentsID},view=EXTENDED
25,N,8,,,http://10.20.16.71:8080,/abc/contents/categories/{categoryID},
32,Y,20,,,http://10.20.16.71:8080,/abc/contents/seasons/{seasonID},
43,Y,42,,,http://10.20.16.71:8080,/abc/livefeeds/{livefeedID},
47,Y,44,,,http://10.20.16.71:8080,/abc/mediaAcceptProfiles/{mediaacceptprofileID},
51,Y,48,,,http://10.20.16.71:8080,/abc/metadata/properties/{propertyID},
55,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID},view=EXTENDED
56,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID}/breakPrePostRolls,
57,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID},
58,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID}/breakPrePostRolls,fetchLimit=0&includeHidden=false
59,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID}/postRolls,fetchLimit=0&includeHidden=false
60,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID}/preRolls,fetchLimit=0&includeHidden=false
61,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID},
62,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID}/breakPrePostRolls,
63,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID}/postRolls,
64,Y,52,,,http://10.20.16.71:8080,/abc/networks/{networkID}/preRolls,
66,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID},
67,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/acceptTemplateMembers,
68,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/artworkAssets,
69,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/artworkByContent,
70,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/categories,
71,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/clips,includeHidden=false
72,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/deliveryWorkflows,includeClips=true
73,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/media,
75,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/partnerPackages,
76,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/textAcceptTemplates,
77,Y,65,,,http://10.20.16.71:8080,/abc/packages/{packageID}/watermarksByContent,
84,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID},
85,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID},view=EXTENDED
86,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/deliveryEndpoints,
87,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/deliveryEndpoints,includeHidden=false
88,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/emailEndpoints,
89,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/emailEndpoints,includeHidden=false
90,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/metadataProperties,
91,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/metadataProperties,mvpd=false
92,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/metadataProperties,mvpd=true
93,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/planners,
94,Y,80,,,http://10.20.16.71:8080,/abc/partners/{partnerID}/subscriptions/searches,
95,Y,80,,,http://10.20.16.71:8080,/abc/partners/emailEndpoints/{partnerID},
53,Y,92,,,http://10.20.16.71:8080,/abc/networks,fetchLimit=0&mvpdOnly=true&mvpdPartnerId={mvpdPartnerID}
97,Y,96,,,http://10.20.16.71:8080,/abc/partners/planners/{plannerID},
119,Y,118,,,http://10.20.16.71:8080,/abc/system/deliveryConditions/{deliveryConditionID},
124,Y,123,,,http://10.20.16.71:8080,/abc/system/externalMetadataSources/{externalMetadataSourceID},
126,Y,125,,,http://10.20.16.71:8080,/abc/system/FFmpegTemplates/{FFmpegTemplateID},
129,Y,128,,,http://10.20.16.71:8080,/abc/system/intermediateVideoTemplates/{intermediateVideoTemplateID},
131,Y,130,,,http://10.20.16.71:8080,/abc/system/macCaptionTemplates/{macCaptionTemplateID},
135,Y,133,,,http://10.20.16.71:8080,/abc/system/xslTemplates/{xlsTemplateID},
137,Y,136,,,http://10.20.16.71:8080,/abc/workflows/executions/{executionID},
138,Y,136,,,http://10.20.16.71:8080,/abc/workflows/executions/{executionID}/contextData,
139,Y,136,,,http://10.20.16.71:8080,/abc/workflows/executions/{executionID}/steps,fetchLimit=-1&fetchOffset=0
98,N,?,,,http://10.20.16.71:8080,/abc/partners/subscriptions/5868/1600,fetchLimit=25&fetchOffset=0&includeDisabled=false&includeEnabled=true
